QuestionID,ExamYear,BodySystem,Subcategory,ArchetypeName,Cluster,UMAP_X,UMAP_Y
Q2023-619,2023,Population-Based Care,Pharmacology,Pharmacology & Drug Selection,1,7.149921,-1.0510312
Q2023-620,2023,Neurologic,Treatment,Acute / Emergent Presentation,5,3.5268133,0.22352895
Q2023-621,2023,Hematologic/ Immune,Diagnosis,Pharmacology & Drug Selection,6,8.256664,-1.9190536
Q2023-622,2023,Psychogenic,Diagnosis,Pharmacology & Drug Selection,6,5.485914,-0.38400757
Q2023-623,2023,Cardiovascular,Screening,Chronic Disease Management,2,6.6207805,-1.062263
Q2023-624,2023,Integumentary,Diagnosis,Pharmacology & Drug Selection,6,7.189264,-0.23889863
Q2023-625,2023,Respiratory,Diagnosis,General Adult Medicine -- Undifferentiated,4,3.8133862,-3.957558
Q2023-626,2023,Gastrointestinal,Management,Acute / Emergent Presentation,5,3.5048184,-1.2413565
Q2023-627,2023,Musculoskeletal,Diagnosis,Pharmacology & Drug Selection,6,6.1634765,-0.46415123
Q2023-628,2023,Endocrine,Pathophysiology,Pharmacology & Drug Selection,6,9.428336,-3.1674109
Q2023-629,2023,Nonspecific,Diagnosis,Pharmacology & Drug Selection,6,5.5506516,0.0048554013
Q2023-630,2023,Cardiovascular,Pharmacology,Pharmacology & Drug Selection,6,6.3971224,-3.2478306
Q2023-631,2023,Gastrointestinal,Management,Pediatric Care & Development,3,6.4224567,2.1237452
Q2023-632,2023,Respiratory,Workup,Pharmacology & Drug Selection,6,6.8419065,-0.87700236
Q2023-633,2023,Musculoskeletal,Pharmacology,General Adult Medicine -- Undifferentiated,8,5.982946,1.4328845
Q2023-634,2023,Nonspecific,Management,Pharmacology & Drug Selection,11,5.838864,-3.9035199
Q2023-635,2023,Patient-Based Systems,Pharmacology,Pharmacology & Drug Selection,6,7.254631,1.0124868
Q2023-636,2023,Integumentary,Workup,Pharmacology & Drug Selection,6,4.203449,0.31560838
Q2023-637,2023,Nephrologic,Pharmacology,Chronic Disease Management,2,2.1184552,-2.5033956
Q2023-638,2023,Special Sensory,Screening,Pharmacology & Drug Selection,6,6.4414687,1.0610688
Q2023-639,2023,Cardiovascular,Screening,Chronic Disease Management,0,7.576191,-1.3871468
Q2023-640,2023,Psychogenic,Screening,General Adult Medicine -- Undifferentiated,8,3.9662013,2.2558959
Q2023-641,2023,Respiratory,Treatment,Pharmacology & Drug Selection,6,6.9104896,-1.0306151
Q2023-642,2023,Musculoskeletal,Pharmacology,Acute / Emergent Presentation,5,5.3349814,-0.2015113
Q2023-643,2023,Endocrine,Treatment,Acute / Emergent Presentation,10,5.40254,-2.029855
Q2023-644,2023,Population-Based Care,Screening,Chronic Disease Management,0,8.244238,-0.06728163
Q2023-645,2023,Neurologic,Pathophysiology,Acute / Emergent Presentation,5,2.6040592,0.45416853
Q2023-646,2023,Gastrointestinal,Pharmacology,Pharmacology & Drug Selection,6,2.8987613,2.131159
Q2023-647,2023,Nonspecific,Pharmacology,Pediatric Care & Development,3,7.6427503,2.046787
Q2023-648,2023,Cardiovascular,Pharmacology,Pharmacology & Drug Selection,6,6.464026,-4.670511
Q2023-649,2023,Respiratory,Management,General Adult Medicine -- Undifferentiated,4,4.5049486,-3.349033
Q2023-650,2023,Integumentary,Management,Pharmacology & Drug Selection,6,7.726947,-2.202627
Q2023-651,2023,Musculoskeletal,Pharmacology,Acute / Emergent Presentation,5,2.5601864,-0.033197343
Q2023-652,2023,Population-Based Care,Management,Pharmacology & Drug Selection,6,6.969413,-0.2652531
Q2023-653,2023,Hematologic/ Immune,Workup,Pharmacology & Drug Selection,6,7.2319703,-1.9213974
Q2023-654,2023,Reproductive: Female,Management,Pharmacology & Drug Selection,6,8.127437,-1.3485512
Q2023-655,2023,Nonspecific,Pharmacology,Pharmacology & Drug Selection,6,6.740518,-2.1968298
Q2023-656,2023,Endocrine,Diagnosis,Pharmacology & Drug Selection,6,8.187998,-1.5563108
Q2023-657,2023,Psychogenic,Management,Pharmacology & Drug Selection,11,6.0718064,-3.9201324
Q2023-658,2023,Musculoskeletal,Pharmacology,Pharmacology & Drug Selection,6,5.8106284,-0.7459939
Q2023-659,2023,Patient-Based Systems,Management,Pharmacology & Drug Selection,6,7.439667,0.6180069
Q2023-660,2023,Respiratory,Management,General Adult Medicine -- Undifferentiated,4,4.1226335,-3.0836346
Q2023-661,2023,Cardiovascular,Management,Pharmacology & Drug Selection,1,3.1041844,-1.1735861
Q2023-662,2023,Nephrologic,Management,Acute / Emergent Presentation,10,7.510434,-3.6407216
Q2023-663,2023,Gastrointestinal,Workup,Pharmacology & Drug Selection,6,4.29995,0.35577646
Q2023-664,2023,Population-Based Care,Screening,Screening & Prevention Guidelines,7,9.425235,-0.3862204
Q2023-665,2023,Endocrine,Management,Pharmacology & Drug Selection,6,7.674753,-2.140719
Q2023-666,2023,Respiratory,Screening,General Adult Medicine -- Undifferentiated,8,8.28323,0.38609013
Q2023-667,2023,Musculoskeletal,Treatment,Pharmacology & Drug Selection,6,5.345882,1.1830192
Q2023-668,2023,Integumentary,Pharmacology,General Adult Medicine -- Undifferentiated,8,5.165435,2.1591938
Q2023-669,2023,Cardiovascular,Management,Pharmacology & Drug Selection,6,10.447371,-0.5165046
Q2023-670,2023,Respiratory,Management,General Adult Medicine -- Undifferentiated,4,5.6460457,-3.078663
Q2023-671,2023,Hematologic/ Immune,Diagnosis,Acute / Emergent Presentation,10,8.089902,-3.375654
Q2023-672,2023,Psychogenic,Diagnosis,Pharmacology & Drug Selection,6,9.128085,-0.90332323
Q2023-673,2023,Population-Based Care,Screening,Pharmacology & Drug Selection,6,5.296413,-0.46246943
Q2023-674,2023,Nonspecific,Treatment,Pharmacology & Drug Selection,6,7.954908,-1.1900883
Q2023-675,2023,Musculoskeletal,Management,Pharmacology & Drug Selection,6,6.411208,1.125306
Q2023-676,2023,Respiratory,Pharmacology,General Adult Medicine -- Undifferentiated,4,3.9465916,-3.833738
Q2023-677,2023,Cardiovascular,Management,Chronic Disease Management,2,6.4096913,-4.5478983
Q2023-678,2023,Neurologic,Diagnosis,Acute / Emergent Presentation,5,3.1018457,-0.37135518
Q2023-679,2023,Integumentary,Treatment,Pharmacology & Drug Selection,6,5.7784452,-0.9601881
Q2023-680,2023,Nonspecific,Pharmacology,Pharmacology & Drug Selection,6,3.8159451,-0.17611346
Q2023-681,2023,Endocrine,Pharmacology,Pharmacology & Drug Selection,6,7.342565,-1.8406894
Q2023-682,2023,Musculoskeletal,Workup,Acute / Emergent Presentation,5,2.475552,-0.056715347
Q2023-683,2023,Patient-Based Systems,Prognosis/Risk,Screening & Prevention Guidelines,7,9.675019,0.11457932
Q2023-684,2023,Respiratory,Workup,General Adult Medicine -- Undifferentiated,4,4.041445,-4.165031
Q2023-685,2023,Cardiovascular,Management,Chronic Disease Management,2,4.876457,-0.7614929
Q2023-686,2023,Gastrointestinal,Prognosis/Risk,Pediatric Care & Development,3,7.4983306,2.1994877
Q2023-687,2023,Population-Based Care,Diagnosis,Pharmacology & Drug Selection,6,5.8398223,0.70702523
Q2023-688,2023,Reproductive: Female,Pharmacology,General Adult Medicine -- Undifferentiated,8,8.222647,-1.6752461
Q2023-689,2023,Nonspecific,Treatment,Pharmacology & Drug Selection,6,7.264866,-3.2240536
Q2023-690,2023,Musculoskeletal,Diagnosis,Acute / Emergent Presentation,5,2.4241567,1.2318304
Q2023-691,2023,Cardiovascular,Pharmacology,General Adult Medicine -- Undifferentiated,4,6.419276,-3.930421
Q2023-692,2023,Psychogenic,Pharmacology,Pharmacology & Drug Selection,6,5.552602,0.45417643
Q2023-693,2023,Respiratory,Treatment,Pharmacology & Drug Selection,6,4.9367685,0.42952904
Q2023-694,2023,Patient-Based Systems,Management,Pharmacology & Drug Selection,6,7.332795,0.93798476
Q2023-695,2023,Special Sensory,Diagnosis,Acute / Emergent Presentation,5,4.0305376,-0.45407245
Q2023-696,2023,Nephrologic,Treatment,Acute / Emergent Presentation,5,4.9860077,-1.8587326
Q2023-697,2023,Integumentary,Pharmacology,Pharmacology & Drug Selection,6,5.105453,1.7313066
Q2023-698,2023,Endocrine,Pharmacology,Acute / Emergent Presentation,10,5.724568,-2.3783
Q2023-699,2023,Cardiovascular,Pharmacology,Acute / Emergent Presentation,10,7.488865,-3.63894
Q2023-700,2023,Patient-Based Systems,Management,Pharmacology & Drug Selection,6,7.0387836,0.1935426
Q2023-701,2023,Respiratory,Prevention,General Adult Medicine -- Undifferentiated,4,4.093004,-3.601867
Q2023-702,2023,Musculoskeletal,Treatment,Acute / Emergent Presentation,5,3.2587485,1.173849
Q2023-703,2023,Nonspecific,Screening,Pediatric Care & Development,3,6.8168573,2.3494039
Q2023-704,2023,Gastrointestinal,Screening,Chronic Disease Management,0,7.9886847,-0.4392696
Q2023-705,2023,Psychogenic,Diagnosis,Pharmacology & Drug Selection,6,7.6633096,-2.2525094
Q2023-706,2023,Hematologic/ Immune,Treatment,General Adult Medicine -- Undifferentiated,4,4.2174945,-2.6918347
Q2023-707,2023,Cardiovascular,Interpretation,Pharmacology & Drug Selection,6,5.610935,-0.7583475
Q2023-708,2023,Respiratory,Pharmacology,Pharmacology & Drug Selection,6,3.8725078,-4.6024594
Q2023-709,2023,Musculoskeletal,Management,Acute / Emergent Presentation,5,2.9536276,-0.54338264
Q2023-710,2023,Nonspecific,Diagnosis,Pharmacology & Drug Selection,6,5.182231,2.3881404
Q2023-711,2023,Integumentary,Counseling,Pharmacology & Drug Selection,6,2.5570555,-0.31933612
Q2023-712,2023,Reproductive: Female,Pharmacology,Pharmacology & Drug Selection,6,8.498322,-1.4779764
Q2023-713,2023,Neurologic,Management,Pharmacology & Drug Selection,6,5.320787,-0.698535
Q2023-714,2023,Endocrine,Screening,Screening & Prevention Guidelines,9,10.79786,-0.5116307
Q2023-715,2023,Population-Based Care,Pharmacology,Screening & Prevention Guidelines,7,9.401492,0.3265235
Q2023-716,2023,Musculoskeletal,Treatment,General Adult Medicine -- Undifferentiated,8,5.9479747,-1.5374988
Q2023-717,2023,Respiratory,Workup,Pharmacology & Drug Selection,6,4.132832,-2.7002316
Q2023-718,2023,Psychogenic,Pharmacology,Pharmacology & Drug Selection,6,5.727824,0.34042174
Q2023-719,2023,Cardiovascular,Pharmacology,Acute / Emergent Presentation,10,3.7703147,0.10300917
Q2023-720,2023,Gastrointestinal,Pharmacology,Acute / Emergent Presentation,10,5.0855045,-1.9574025
Q2023-721,2023,Nonspecific,Pharmacology,Screening & Prevention Guidelines,7,3.994392,2.2330592
Q2023-722,2023,Musculoskeletal,Diagnosis,Acute / Emergent Presentation,5,2.1858914,-0.5341271
Q2023-723,2023,Cardiovascular,Diagnosis,Pharmacology & Drug Selection,6,6.755358,0.28413144
Q2023-724,2023,Respiratory,Pharmacology,Pharmacology & Drug Selection,6,6.169286,-0.45752704
Q2023-725,2023,Patient-Based Systems,Management,Screening & Prevention Guidelines,7,9.629369,0.1783932
Q2023-726,2023,Nephrologic,Workup,Acute / Emergent Presentation,10,5.496199,-2.2528453
Q2023-727,2023,Reproductive: Female,Treatment,Pharmacology & Drug Selection,6,9.173775,-0.9186208
Q2023-728,2023,Nonspecific,Management,Acute / Emergent Presentation,5,3.1345391,-0.5979499
Q2023-729,2023,Psychogenic,Pharmacology,Pharmacology & Drug Selection,6,7.4445786,0.6172136
Q2023-730,2023,Endocrine,Pharmacology,Pharmacology & Drug Selection,1,6.9832177,-2.6261494
Q2023-731,2023,Musculoskeletal,Workup,Acute / Emergent Presentation,5,2.7028317,0.41083726
Q2023-732,2023,Cardiovascular,Prognosis/Risk,Pharmacology & Drug Selection,6,7.2847137,-1.6417195
Q2023-733,2023,Population-Based Care,Management,Pharmacology & Drug Selection,6,5.5186067,1.1606469
Q2023-734,2023,Respiratory,Treatment,Pharmacology & Drug Selection,6,3.9695094,-2.2971787
Q2023-735,2023,Gastrointestinal,Pharmacology,Chronic Disease Management,2,2.464037,-2.5760722
Q2023-736,2023,Special Sensory,Screening,Pharmacology & Drug Selection,6,4.4235663,1.4310144
Q2023-737,2023,Integumentary,Management,General Adult Medicine -- Undifferentiated,8,5.0054445,1.5686983
Q2023-738,2023,Nonspecific,Treatment,Pharmacology & Drug Selection,6,4.380648,-2.113624
Q2023-739,2023,Endocrine,Treatment,Pharmacology & Drug Selection,6,7.572383,-2.1849742
Q2023-740,2023,Cardiovascular,Treatment,Pharmacology & Drug Selection,6,7.103903,-0.40650645
Q2023-741,2023,Respiratory,Pharmacology,Pharmacology & Drug Selection,6,7.6543927,-1.1353735
Q2023-742,2023,Musculoskeletal,Management,Acute / Emergent Presentation,5,4.910517,0.79740846
Q2023-743,2023,Neurologic,Management,Acute / Emergent Presentation,5,2.8990731,2.0795176
Q2023-744,2023,Patient-Based Systems,Management,Screening & Prevention Guidelines,7,9.737301,0.060466822
Q2023-745,2023,Endocrine,Pharmacology,Pharmacology & Drug Selection,1,6.3690195,-2.1304886
Q2023-746,2023,Psychogenic,Management,Pharmacology & Drug Selection,6,5.1896915,0.8008541
Q2023-747,2023,Musculoskeletal,Treatment,Acute / Emergent Presentation,5,3.3029642,1.1336716
Q2023-748,2023,Respiratory,Management,Pharmacology & Drug Selection,6,7.7700167,-0.7783589
Q2023-749,2023,Gastrointestinal,Management,General Adult Medicine -- Undifferentiated,8,6.6407914,0.3702293
Q2023-750,2023,Cardiovascular,Diagnosis,Pharmacology & Drug Selection,6,6.4337573,-1.8326468
Q2023-751,2023,Nonspecific,Pharmacology,Chronic Disease Management,0,7.462307,-2.3040981
Q2023-752,2023,Reproductive: Female,Management,General Adult Medicine -- Undifferentiated,4,5.2732935,-3.0083404
Q2023-753,2023,Population-Based Care,Pharmacology,Pharmacology & Drug Selection,6,7.8314056,0.3354512
Q2023-754,2023,Musculoskeletal,Management,Acute / Emergent Presentation,5,2.224366,0.41863364
Q2023-755,2023,Respiratory,Management,Pediatric Care & Development,3,4.3359156,-1.3774036
Q2023-756,2023,Cardiovascular,Pharmacology,Pediatric Care & Development,3,6.676668,2.316536
Q2023-757,2023,Hematologic/ Immune,Diagnosis,Pharmacology & Drug Selection,6,5.3747387,1.4823598
Q2023-758,2023,Reproductive: Male,Management,Pharmacology & Drug Selection,6,9.038539,-1.003465
Q2023-759,2023,Psychogenic,Pharmacology,Pharmacology & Drug Selection,6,5.7659354,0.21046212
Q2023-760,2023,Respiratory,Screening,Screening & Prevention Guidelines,9,10.219062,-0.52465916
Q2023-761,2023,Nonspecific,Treatment,Chronic Disease Management,0,7.5609756,-1.5439463
Q2023-762,2023,Integumentary,Management,Pharmacology & Drug Selection,6,2.9393342,2.142715
Q2023-763,2023,Endocrine,Pharmacology,Pharmacology & Drug Selection,11,6.2960873,-3.9696023
Q2023-764,2023,Musculoskeletal,Management,Pharmacology & Drug Selection,6,4.062935,0.5883598
Q2023-765,2023,Gastrointestinal,Screening,Screening & Prevention Guidelines,7,9.347342,0.08188725
Q2023-766,2023,Cardiovascular,Pharmacology,Pharmacology & Drug Selection,1,4.9378724,-0.85775656
Q2023-767,2023,Population-Based Care,Prevention,Pharmacology & Drug Selection,1,8.437495,0.16875999
Q2023-768,2023,Respiratory,Prognosis/Risk,Pharmacology & Drug Selection,6,4.8820696,0.895613
Q2023-769,2023,Integumentary,Workup,Pharmacology & Drug Selection,6,4.1961555,-4.2442617
Q2023-770,2023,Endocrine,Management,Acute / Emergent Presentation,10,5.355451,-2.9726508
Q2023-771,2023,Musculoskeletal,Diagnosis,Acute / Emergent Presentation,5,2.1742773,-0.48754045
Q2023-772,2023,Cardiovascular,Screening,Screening & Prevention Guidelines,9,10.32426,-0.6573254
Q2023-773,2023,Respiratory,Pharmacology,Pharmacology & Drug Selection,6,4.110484,-2.564035
