Year,QuestionNum,BodySystem
2023,43,Endocrine
2023,130,Endocrine
2023,137,Integumentary
2023,45,Neurologic
2023,70,Respiratory
2023,76,Respiratory
2023,117,Respiratory
2023,155,Respiratory
2023,51,Musculoskeletal
2023,154,Musculoskeletal
2023,46,Gastrointestinal
2023,163,Endocrine
2023,24,Integumentary
2023,168,Respiratory
2023,173,Respiratory
2023,14,Respiratory
2023,13,Cardiovascular
2023,5,Musculoskeletal
2023,15,Musculoskeletal
2023,82,Musculoskeletal
2023,116,Musculoskeletal
2023,63,Gastrointestinal
2023,149,Gastrointestinal
2023,165,Gastrointestinal
2023,81,Endocrine
2023,79,Integumentary
2023,97,Integumentary
2023,187,Musculoskeletal
2023,100,Respiratory
2023,199,Cardiovascular
2023,42,Musculoskeletal
2023,177,Musculoskeletal
2023,26,Gastrointestinal
2023,56,Endocrine
2023,145,Endocrine
2023,170,Endocrine
2023,195,Endocrine
2023,10,Integumentary
2023,50,Integumentary
2023,134,Respiratory
2023,148,Respiratory
2023,85,Cardiovascular
2023,107,Cardiovascular
2023,75,Musculoskeletal
2023,193,Gastrointestinal
2023,41,Respiratory
2023,49,Respiratory
2023,60,Respiratory
2023,84,Respiratory
2023,30,Cardiovascular
2023,39,Cardiovascular
2023,69,Cardiovascular
2023,99,Cardiovascular
2023,109,Musculoskeletal
2023,142,Musculoskeletal
2023,197,Musculoskeletal
2023,6,Endocrine
2023,113,Neurologic
2023,143,Neurologic
2023,93,Respiratory
2023,124,Respiratory
2023,119,Cardiovascular
2023,52,Population-Based Care
2023,74,Hematologic/Immune
2023,83,Patient-Based Systems
2023,112,Reproductive:Female
2023,158,Reproductive:Male
2023,103,Hematologic/Immune
2023,110,Hematologic/Immune
2023,64,Population-Based Care
2023,18,Hematologic/Immune
2023,47,Hematologic/Immune
2023,157,Hematologic/Immune
2023,34,Hematologic/Immune
2023,35,Patient-Based Systems
2023,198,Patient-Based Systems
2023,118,Psychogenic
2023,192,Reproductive:Female
2023,55,Hematologic/Immune
2023,115,Population-Based Care
2023,105,Psychogenic
2023,71,Hematologic/Immune
2023,128,Hematologic/Immune
2023,161,Hematologic/Immune
2023,133,Population-Based Care
2023,167,Population-Based Care
2023,94,Patient-Based Systems
2023,125,Patient-Based Systems
2023,175,Reproductive:Female
2023,80,Hematologic/Immune
2023,151,Hematologic/Immune
2023,92,Psychogenic
2023,106,Hematologic/Immune
2023,29,Hematologic/Immune
2023,73,Population-Based Care
2023,57,Psychogenic
2023,183,Psychogenic
2023,88,Reproductive:Female
2023,127,Reproductive:Female
2023,152,Reproductive:Female
2023,185,Nephrologic
2023,191,Hematologic/Immune
2023,121,Hematologic/Immune
2023,40,Psychogenic
2023,146,Psychogenic
2023,159,Psychogenic
2023,126,Nephrologic
2023,4,Psychogenic
2023,12,Reproductive:Female
2023,62,Nephrologic
2023,53,Hematologic/Immune
2023,153,Population-Based Care
2023,9,Patient-Based Systems
2023,21,Hematologic/Immune
2023,7,Hematologic/Immune
2023,89,Hematologic/Immune
2023,19,Population-Based Care
2023,22,Psychogenic
2023,72,Psychogenic
2023,174,Psychogenic
2023,196,Psychogenic
2023,54,Reproductive:Female
2023,8,Reproductive:Male
2023,11,Nephrologic
2023,37,Nephrologic
2023,96,Nephrologic
2023,138,Hematologic/Immune
2023,176,Hematologic/Immune
2023,194,Population-Based Care
2023,44,Population-Based Care
2023,87,Population-Based Care
2023,59,Patient-Based Systems
2023,144,Patient-Based Systems
2023,178,Patient-Based Systems
2024,9,Musculoskeletal
2024,13,Respiratory
2024,183,Psychogenic
2024,50,Cardiovascular
2024,89,Musculoskeletal
2024,73,Psychogenic
2024,196,Psychogenic
2024,174,Reproductive:Female
2024,160,Musculoskeletal
2024,186,Respiratory
2024,112,Psychogenic
2024,94,Reproductive:Female
2024,123,Musculoskeletal
2024,185,Respiratory
2024,15,Reproductive:Female
2024,46,Reproductive:Female
2024,98,Musculoskeletal
2024,77,Psychogenic
2024,130,Musculoskeletal
2024,18,Respiratory
2024,132,Respiratory
2024,85,Psychogenic
2024,125,Cardiovascular
2024,17,Musculoskeletal
2024,42,Musculoskeletal
2024,184,Musculoskeletal
2024,5,Cardiovascular
2024,134,Cardiovascular
2024,178,Musculoskeletal
2024,193,Musculoskeletal
2024,87,Musculoskeletal
2024,102,Musculoskeletal
2024,131,Reproductive:Female
2024,162,Cardiovascular
2024,58,Musculoskeletal
2024,82,Musculoskeletal
2024,136,Musculoskeletal
2024,171,Respiratory
2024,179,Reproductive:Female
2024,128,Cardiovascular
2024,56,Respiratory
2024,111,Respiratory
2024,156,Psychogenic
2024,107,Reproductive:Female
2024,147,Reproductive:Female
2024,19,Cardiovascular
2024,24,Cardiovascular
2024,188,Cardiovascular
2024,192,Cardiovascular
2024,27,Musculoskeletal
2024,101,Respiratory
2024,14,Psychogenic
2024,71,Psychogenic
2024,57,Reproductive:Female
2024,200,Cardiovascular
2024,11,Cardiovascular
2024,92,Cardiovascular
2024,189,Musculoskeletal
2024,104,Reproductive:Female
2024,150,Cardiovascular
2024,139,Respiratory
2024,22,Reproductive:Female
2024,100,Cardiovascular
2024,23,Cardiovascular
2024,66,Cardiovascular
2024,142,Cardiovascular
2024,175,Psychogenic
2024,159,Cardiovascular
2024,61,Psychogenic
2024,146,Cardiovascular
2024,176,Cardiovascular
2024,99,Musculoskeletal
2024,108,Musculoskeletal
2024,168,Musculoskeletal
2024,122,Respiratory
2024,52,Psychogenic
2024,133,Psychogenic
2024,166,Psychogenic
