article_id,author1,year,title,source_type,db_tier,reco_folder,reco_filename,reco_folder,reco_filename
ART-0234,Chey,2017,treatment of Helicobacter pylori infection,Other Journal,right_click,RECO_right_click,Chey_Leontiadis_2017#@#ART-0234@#@.pdf,RECO_right_click,Chey_Leontiadis_2017#@#ART-0234@#@.pdf
ART-0238,Chow,2012,IDSA clinical practice guideline for acute bacterial rhinosinusitis in children ,Guideline/Org,local_lite,RECO_local_lite,Chow_Benninger_2012#@#ART-0238@#@.pdf,RECO_local_lite,Chow_Benninger_2012#@#ART-0238@#@.pdf
ART-0240,Christian,2015,e1337-e1354,Pediatrics,local_lite,RECO_local_lite,Christian_American_2015#@#ART-0240@#@.pdf,RECO_local_lite,Christian_American_2015#@#ART-0240@#@.pdf
ART-0248,Cloutier,2020,2020 asthma guideline update from the National Asthma Education and Prevention P,JAMA,right_click,RECO_right_click,Cloutier_Dixon_2020#@#ART-0248@#@.pdf,RECO_right_click,Cloutier_Dixon_2020#@#ART-0248@#@.pdf
ART-0270,Croke,2019,HIV prevention and treatment with ART: International Antiviral Society updates r,AFP,local_lite,RECO_local_lite,Croke_2019#@#ART-0270@#@.pdf,RECO_local_lite,Croke_2019#@#ART-0270@#@.pdf
ART-0279,Dakkak,2021,update from the American College of Rheumatology,AFP,local_lite,RECO_local_lite,Dakkak_Lanney_2021#@#ART-0279@#@.pdf,RECO_local_lite,Dakkak_Lanney_2021#@#ART-0279@#@.pdf
ART-0282,Dalrymple,2021,Tinnitus: Diagnosis and management,AFP,local_lite,RECO_local_lite,Dalrymple_Lewis_2021#@#ART-0282@#@.pdf,RECO_local_lite,Dalrymple_Lewis_2021#@#ART-0282@#@.pdf
ART-0287,David,2022,137-143,AFP,local_lite,RECO_local_lite,David_Quinlan_2022#@#ART-0287@#@.pdf,RECO_local_lite,David_Quinlan_2022#@#ART-0287@#@.pdf
ART-0296,DeGeorge,2019,Treatment of the common cold,AFP,local_lite,RECO_local_lite,DeGeorge_Ring_2019#@#ART-0296@#@.pdf,RECO_local_lite,DeGeorge_Ring_2019#@#ART-0296@#@.pdf
ART-0322,Donangelo,2017,Subclinical hyperthyroidism: When to consider treatment,AFP,right_click,RECO_right_click,Donangelo_Suh_2017#@#ART-0322@#@.pdf,RECO_right_click,Donangelo_Suh_2017#@#ART-0322@#@.pdf
ART-0325,Dooling,2018,103-108,Other Journal,local_lite,RECO_local_lite,Dooling_Guo_2018#@#ART-0325@#@.pdf,RECO_local_lite,Dooling_Guo_2018#@#ART-0325@#@.pdf
ART-0326,Douketis,2019,1469-1478,JAMA,right_click,RECO_right_click,Douketis_Spyropoulos_2019#@#ART-0326@#@.pdf,RECO_right_click,Douketis_Spyropoulos_2019#@#ART-0326@#@.pdf
ART-0327,Douketis,2022,an American College of Chest Physicians clinical practice guideline,Chest,right_click,RECO_right_click,Douketis_Spyropoulos_2022#@#ART-0327@#@.pdf,RECO_right_click,Douketis_Spyropoulos_2022#@#ART-0327@#@.pdf
ART-0346,Dvorin,2020,Short-term systemic corticosteroids: Appropriate use in primary care,AFP,local_lite,RECO_local_lite,Dvorin_Ebell_2020#@#ART-0346@#@.pdf,RECO_local_lite,Dvorin_Ebell_2020#@#ART-0346@#@.pdf
ART-0384,Evans,2021,Executive Summary: Surviving Sepsis Campaign: International guidelines for the m,Other Journal,right_click,RECO_right_click,Evans_Rhodes_2021#@#ART-0384@#@.pdf,RECO_right_click,Evans_Rhodes_2021#@#ART-0384@#@.pdf
ART-0393,Falk,2018,Evaluation of suspected dementia,AFP,right_click,RECO_right_click,Falk_Cole_2018#@#ART-0393@#@.pdf,RECO_right_click,Falk_Cole_2018#@#ART-0393@#@.pdf
ART-0398,Farraye,2017,preventive care in inflammatory bowel disease,Other Journal,local_lite,RECO_local_lite,Farraye_Melmed_2017#@#ART-0398@#@.pdf,RECO_local_lite,Farraye_Melmed_2017#@#ART-0398@#@.pdf
ART-0405,Final,2018,Adolescent Idiopathic Scoliosis: Screening,Guideline/Org,local_lite,RECO_local_lite,Final_2018#@#ART-0405@#@.pdf,RECO_local_lite,Final_2018#@#ART-0405@#@.pdf
ART-0412,Final,2016,Depression in Adults: Screening,Guideline/Org,right_click,RECO_right_click,Final_2016#@#ART-0412@#@.pdf,RECO_right_click,Final_2016#@#ART-0412@#@.pdf
ART-0415,Final,2020,Hepatitis C Virus Infection in Adolescents and Adults: Screening,Guideline/Org,local_lite,RECO_local_lite,Final_2020#@#ART-0415@#@.pdf,RECO_local_lite,Final_2020#@#ART-0415@#@.pdf
ART-0420,Final,2021,Lung Cancer: Screening,Guideline/Org,right_click,RECO_right_click,Final_2021#@#ART-0420@#@.pdf,RECO_right_click,Final_2021#@#ART-0420@#@.pdf
ART-0433,Finkelstein,2024,CD013823,Other Journal,right_click,RECO_right_click,Finkelstein_Fothergill_2024#@#ART-0433@#@.pdf,RECO_right_click,Finkelstein_Fothergill_2024#@#ART-0433@#@.pdf
ART-0435,Fishbane,2017,Effects of ferric citrate in patients with nondialysis-dependent CKD and iron de,Other Journal,right_click,RECO_right_click,Fishbane_Block_2017#@#ART-0435@#@.pdf,RECO_right_click,Fishbane_Block_2017#@#ART-0435@#@.pdf
ART-0437,FitzGerald,2020,2020 American College of Rheumatology guideline for the management of gout,Other Journal,right_click,RECO_right_click,FitzGerald_Dalbeth_2020#@#ART-0437@#@.pdf,RECO_right_click,FitzGerald_Dalbeth_2020#@#ART-0437@#@.pdf
ART-0441,Flynn,2017,Clinical practice guideline for screening and management of high blood pressure ,Pediatrics,right_click,RECO_right_click,Flynn_Kaelber_2017#@#ART-0441@#@.pdf,RECO_right_click,Flynn_Kaelber_2017#@#ART-0441@#@.pdf
ART-0442,Fontenelle,2019,treatment and prevention,AFP,right_click,RECO_right_click,Fontenelle_Sarti_2019#@#ART-0442@#@.pdf,RECO_right_click,Fontenelle_Sarti_2019#@#ART-0442@#@.pdf
ART-0449,Foster,2015,694-699,AFP,local_lite,RECO_local_lite,Foster_Voss_2015#@#ART-0449@#@.pdf,RECO_local_lite,Foster_Voss_2015#@#ART-0449@#@.pdf
ART-0455,Frazier,2020,Atopic dermatitis: Diagnosis and treatment,AFP,local_lite,RECO_local_lite,Frazier_Bhardwaj_2020#@#ART-0455@#@.pdf,RECO_local_lite,Frazier_Bhardwaj_2020#@#ART-0455@#@.pdf
ART-0470,Gaitonde,2019,Influenza: Diagnosis and treatment,AFP,local_lite,RECO_local_lite,Gaitonde_Moore_2019#@#ART-0470@#@.pdf,RECO_local_lite,Gaitonde_Moore_2019#@#ART-0470@#@.pdf
ART-0471,Galima,2020,Seasonal affective disorder: Common questions and answers,AFP,local_lite,RECO_local_lite,Galima_Vogel_2020#@#ART-0471@#@.pdf,RECO_local_lite,Galima_Vogel_2020#@#ART-0471@#@.pdf
ART-0474,Garcia-Tsao,2016,"Portal hypertensive bleeding in cirrhosis: Risk stratification, diagnosis, and m",Other Journal,right_click,RECO_right_click,Garcia_Tsao_Abraldes_2016#@#ART-0474@#@.pdf,RECO_right_click,Garcia_Tsao_Abraldes_2016#@#ART-0474@#@.pdf
ART-0479,Gauer,2020,Sepsis: Diagnosis and management,AFP,right_click,RECO_right_click,Gauer_Forbes_2020#@#ART-0479@#@.pdf,RECO_right_click,Gauer_Forbes_2020#@#ART-0479@#@.pdf
ART-0483,Gauer,2013,Early recognition and management of sepsis in adults: The first six hours,AFP,local_lite,RECO_local_lite,Gauer_2013#@#ART-0483@#@.pdf,RECO_local_lite,Gauer_2013#@#ART-0483@#@.pdf
ART-0487,Gentry,2017,Chronic obstructive pulmonary disease: Diagnosis and management,AFP,right_click,RECO_right_click,Gentry_Gentry_2017#@#ART-0487@#@.pdf,RECO_right_click,Gentry_Gentry_2017#@#ART-0487@#@.pdf
ART-0488,Gerhard-Herman,2016,a report of the American College of Cardiology/American Heart Association Task F,Circulation,local_lite,RECO_local_lite,Gerhard_Herman_Gornik_2016#@#ART-0488@#@.pdf,RECO_local_lite,Gerhard_Herman_Gornik_2016#@#ART-0488@#@.pdf
ART-0498,Global,2020,Global Strategy for Asthma Management and Prevention. Global Initiative for Asth,Other Journal,local_lite,RECO_local_lite,Global_2020#@#ART-0498@#@.pdf,RECO_local_lite,Global_2020#@#ART-0498@#@.pdf
ART-0501,Gmez-Aldana,2019,current concepts in diagnosis and treatment,Other Journal,local_lite,RECO_local_lite,Gmez_Aldana_Jaramillo_Santos_2019#@#ART-0501@#@.pdf,RECO_local_lite,Gmez_Aldana_Jaramillo_Santos_2019#@#ART-0501@#@.pdf
ART-0504,Golden,2016,Preventing obesity and eating disorders in adolescents,Pediatrics,local_lite,RECO_local_lite,Golden_Schneider_2016#@#ART-0504@#@.pdf,RECO_local_lite,Golden_Schneider_2016#@#ART-0504@#@.pdf
ART-0514,Goodbred,2023,"prevention, diagnosis, and treatment",AFP,right_click,RECO_right_click,Goodbred_Langan_2023#@#ART-0514@#@.pdf,RECO_right_click,Goodbred_Langan_2023#@#ART-0514@#@.pdf
ART-0524,Gregory,2018,The pregnant patient: Managing common acute medical problems,AFP,local_lite,RECO_local_lite,Gregory_Wu_2018#@#ART-0524@#@.pdf,RECO_local_lite,Gregory_Wu_2018#@#ART-0524@#@.pdf
